Overall ID,Experiment ID,Location ID,Measurement ID,Experiment Condition,timestamp,time,IAQ,Temperature / C,Humidity / %,Compensated Gas / ppm,VOC / ppb,CO2 / ppm,Temperature (Weather),Humidity (Weather),Wind Speed (Weather),AQI (Pollution),CO Concentration,NO2 Concentration
1_2_1,1,2,1,Window Closed,2024-11-27 22:44:31,,,,,,,,1.27,90,2.68,2,293.73,52.78
1_2_2,1,2,2,Window Closed,2024-11-27 22:44:32,16874.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_3,1,2,3,Window Closed,2024-11-27 22:44:33,17874.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_4,1,2,4,Window Closed,2024-11-27 22:44:34,18875.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_5,1,2,5,Window Closed,2024-11-27 22:44:36,19875.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_6,1,2,6,Window Closed,2024-11-27 22:44:37,20875.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_7,1,2,7,Window Closed,2024-11-27 22:44:38,21876.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_8,1,2,8,Window Closed,2024-11-27 22:44:39,23871.0,25.0,11.59,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_9,1,2,9,Window Closed,2024-11-27 22:44:40,24932.0,25.0,11.6,51.11,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_10,1,2,10,Window Closed,2024-11-27 22:44:41,25932.0,25.0,11.6,51.13,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_11,1,2,11,Window Closed,2024-11-27 22:44:42,26872.0,25.0,11.6,51.13,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_12,1,2,12,Window Closed,2024-11-27 22:44:43,27933.0,25.0,11.6,50.15,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_13,1,2,13,Window Closed,2024-11-27 22:44:45,28873.0,25.0,11.6,50.15,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_14,1,2,14,Window Closed,2024-11-27 22:44:46,29873.0,25.0,11.6,50.15,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_15,1,2,15,Window Closed,2024-11-27 22:44:47,31934.0,25.0,11.63,50.1,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_16,1,2,16,Window Closed,2024-11-27 22:44:48,32874.0,25.0,11.63,50.1,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_17,1,2,17,Window Closed,2024-11-27 22:44:49,33874.0,25.0,11.63,50.1,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_18,1,2,18,Window Closed,2024-11-27 22:44:50,34874.0,25.0,11.63,50.1,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_19,1,2,19,Window Closed,2024-11-27 22:44:52,35875.0,25.0,11.63,50.1,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_20,1,2,20,Window Closed,2024-11-27 22:44:53,36936.0,25.0,11.64,50.1,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_21,1,2,21,Window Closed,2024-11-27 22:44:54,37936.0,25.0,11.63,50.15,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_22,1,2,22,Window Closed,2024-11-27 22:44:55,39931.0,25.0,11.64,50.14,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_23,1,2,23,Window Closed,2024-11-27 22:44:56,40932.0,25.0,11.71,49.97,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_24,1,2,24,Window Closed,2024-11-27 22:44:57,41932.0,25.0,11.71,49.97,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_25,1,2,25,Window Closed,2024-11-27 22:44:58,42932.0,25.0,11.71,49.97,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_26,1,2,26,Window Closed,2024-11-27 22:45:00,43933.0,25.0,11.85,50.68,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_27,1,2,27,Window Closed,2024-11-27 22:45:01,44933.0,25.0,11.85,50.68,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_28,1,2,28,Window Closed,2024-11-27 22:45:02,45933.0,25.0,11.85,50.68,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_29,1,2,29,Window Closed,2024-11-27 22:45:03,47934.0,25.0,11.94,52.54,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_30,1,2,30,Window Closed,2024-11-27 22:45:04,48934.0,25.0,11.94,52.54,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_31,1,2,31,Window Closed,2024-11-27 22:45:05,49934.0,25.0,12.01,53.48,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_32,1,2,32,Window Closed,2024-11-27 22:45:06,50935.0,25.0,12.01,53.48,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_33,1,2,33,Window Closed,2024-11-27 22:45:08,51935.0,25.0,12.01,53.48,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_34,1,2,34,Window Closed,2024-11-27 22:45:09,52935.0,25.0,12.08,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_35,1,2,35,Window Closed,2024-11-27 22:45:10,52935.0,25.0,12.08,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_36,1,2,36,Window Closed,2024-11-27 22:45:11,54936.0,25.0,12.08,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_37,1,2,37,Window Closed,2024-11-27 22:45:12,55936.0,25.0,12.14,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_38,1,2,38,Window Closed,2024-11-27 22:45:13,56931.0,25.0,12.14,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_39,1,2,39,Window Closed,2024-11-27 22:45:14,56931.0,25.0,12.14,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_40,1,2,40,Window Closed,2024-11-27 22:45:16,56931.0,25.0,12.14,54.44,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_41,1,2,41,Window Closed,2024-11-27 22:45:17,60932.0,25.0,12.2,55.43,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_42,1,2,42,Window Closed,2024-11-27 22:45:18,60932.0,25.0,12.2,55.43,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_43,1,2,43,Window Closed,2024-11-27 22:45:19,62933.0,25.0,12.27,55.4,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_44,1,2,44,Window Closed,2024-11-27 22:45:20,63933.0,25.0,12.27,55.4,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_45,1,2,45,Window Closed,2024-11-27 22:45:21,65934.0,25.0,12.34,55.4,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_46,1,2,46,Window Closed,2024-11-27 22:45:22,65934.0,25.0,12.34,55.4,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_47,1,2,47,Window Closed,2024-11-27 22:45:24,67934.0,25.0,12.4,55.41,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
1_2_48,1,2,48,Window Closed,2024-11-27 22:45:25,68935.0,25.0,12.4,55.41,5.0,0.49,500.0,1.27,90,2.68,2,293.73,52.78
