Overall ID,Experiment ID,Location ID,Measurement ID,Experiment Condition,timestamp,time,IAQ,Temperature / C,Humidity / %,Compensated Gas / ppm,VOC / ppb,CO2 / ppm,Temperature (Weather),Humidity (Weather),Wind Speed (Weather),AQI (Pollution),CO Concentration,NO2 Concentration
2_1_1,2,1,1, Window Open,2024-12-03 22:39:37,,,,,,,,5.28,89,2.68,1,253.68,19.71
2_1_2,2,1,2, Window Open,2024-12-03 22:39:38,114062.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_3,2,1,3, Window Open,2024-12-03 22:39:39,115062.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_4,2,1,4, Window Open,2024-12-03 22:39:40,116063.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_5,2,1,5, Window Open,2024-12-03 22:39:41,117063.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_6,2,1,6, Window Open,2024-12-03 22:39:42,118063.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_7,2,1,7, Window Open,2024-12-03 22:39:43,120064.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_8,2,1,8, Window Open,2024-12-03 22:39:44,121064.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_9,2,1,9, Window Open,2024-12-03 22:39:46,122065.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_10,2,1,10, Window Open,2024-12-03 22:39:47,123065.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_11,2,1,11, Window Open,2024-12-03 22:39:48,124065.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_12,2,1,12, Window Open,2024-12-03 22:39:49,125065.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_13,2,1,13, Window Open,2024-12-03 22:39:50,126066.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_14,2,1,14, Window Open,2024-12-03 22:39:51,127066.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_15,2,1,15, Window Open,2024-12-03 22:39:52,129067.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
2_1_16,2,1,16, Window Open,2024-12-03 22:39:53,130062.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,89,2.68,1,253.68,19.71
